# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
gamma_ccdf_log;(reals y, reals alpha, reals beta);real;392
gamma_cdf;(reals y, reals alpha, reals beta);real;391
gamma_cdf_log;(reals y, reals alpha, reals beta);real;391
gamma_log;(reals y, reals alpha, reals beta);real;391
gamma_p;(real a, real z);real;328
gamma_q;(real a, real z);real;328
gamma_rng;(real alpha, real beta);real;392
gaussian_dlm_obs;~;real;409
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, matrix V matrix W, vector m0, matrix C0);real;410
gaussian_dlm_obs_log;(matrix y, matrix F, matrix G, vector V matrix W, vector m0, matrix C0);real;410
get_lp;();real;312
gumbel;~;real;385
gumbel_ccdf_log;(reals y, reals mu, reals beta);real;386
gumbel_cdf;(reals y, reals mu, reals beta);real;386
gumbel_cdf_log;(reals y, reals mu, reals beta);real;386
gumbel_log;(reals y, reals mu, reals beta);real;385
gumbel_rng;(real mu, real beta);real;386
head;(T[] sv, int n);T[];352
head;(row_vector rv, int n);row_vector;352
head;(vector v, int n);vector;352
hypergeometric;~;real;369
hypergeometric_log;(int n, int N, int a, int b);real;369
hypergeometric_rng;(int N, real a, real b);int;369
hypot;(real x, real y);real;322
if_else;(int cond, real x, real y);real;315
increment_log_prob;(T lp);void;306
int_step;(int x);int;310
int_step;(real x);int;310
inv;(real x);real;321
inv_chi_square;~;real;389
inv_chi_square_ccdf_log;(reals y, reals nu);real;389
inv_chi_square_cdf;(reals y, reals nu);real;389
inv_chi_square_cdf_log;(reals y, reals nu);real;389
inv_chi_square_log;(reals y, reals nu);real;389
inv_chi_square_rng;(real nu);real;389
inv_cloglog;(real y);real;325
inv_gamma;~;real;392
inv_gamma_ccdf_log;(reals y, reals alpha, reals beta);real;392
inv_gamma_cdf;(reals y, reals alpha, reals beta);real;392
inv_gamma_cdf_log;(reals y, reals alpha, reals beta);real;392
inv_gamma_log;(reals y, reals alpha, reals beta);real;392
inv_gamma_rng;(real alpha, real beta);real;392
inv_logit;(real y);real;325
inv_sqrt;(real x);real;322
inv_square;(real x);real;322
inv_wishart;~;real;416
inv_wishart_log;(matrix W, real nu, matrix Sigma);real;416
inv_wishart_rng;(real nu, matrix Sigma);matrix;416
inverse;(matrix A);matrix;356
inverse_spd;(matrix A);matrix;356
is_inf;(real x);int;316
is_nan;(real x);int;316
lbeta;(real alpha, real beta);real;326
lgamma;(real x);real;327
lkj_corr;~;real;413
lkj_corr_cholesky;~;real;414
lkj_corr_cholesky_log;(matrix L, real eta);real;414
lkj_corr_cholesky_rng;(int K, real eta);matrix;414
lkj_corr_log;(matrix y, real eta);real;413
lkj_corr_rng;(int K, real eta);matrix;413
lmgamma;(int n, real x);real;327
log10;();real;311
log10;(real x);real;321
log1m;(real x);real;331
log1m_exp;(real x);real;331
log1m_inv_logit;(real x);real;332
log1p;(real x);real;331
log1p_exp;(real x);real;331
log2;();real;311
log2;(real x);real;321
log;(matrix x);matrix;345
log;(real x);real;321
log;(row_vector x);row_vector;345
log;(vector x);vector;344
log_determinant;(matrix A);real;356
log_diff_exp;(real x, real y);real;332
log_falling_factorial;(real x, real n);real;330
log_inv_logit;(real x);real;332
log_mix;(real theta, real lp1, real lp2);real;332
log_rising_factorial;(real x, real n);real;330
log_softmax;(vector x);vector;354
log_sum_exp;(matrix x);real;348
log_sum_exp;(real x, real y);real;332
log_sum_exp;(real x[]);real;334
log_sum_exp;(row_vector x);real;348
log_sum_exp;(vector x);real;348
logistic;~;real;384
logistic_ccdf_log;(reals y, reals mu, reals sigma);real;385
logistic_cdf;(reals y, reals mu, reals sigma);real;385
logistic_cdf_log;(reals y, reals mu, reals sigma);real;385
logistic_log;(reals y, reals mu, reals sigma);real;385
logistic_rng;(real mu, real sigma);real;385
logit;(real x);real;324
lognormal;~;real;387
lognormal_ccdf_log;(reals y, reals mu, reals sigma);real;387
lognormal_cdf;(reals y, reals mu, reals sigma);real;387
lognormal_cdf_log;(reals y, reals mu, reals sigma);real;387
lognormal_log;(reals y, reals mu, reals sigma);real;387
lognormal_rng;(real mu, real beta);real;387
machine_precision;();real;311
max;(int x, int y);int;310
max;(int x[]);int;333
max;(matrix x);real;348
max;(real x[]);real;333
max;(row_vector x);real;348
max;(vector x);real;348
mdivide_left_tri_low;(matrix A, matrix B);matrix;356
mdivide_left_tri_low;(matrix A, vector B);vector;356
mdivide_right_tri_low;(matrix B, matrix A);matrix;355
mdivide_right_tri_low;(row_vector B, matrix A);row_vector;355
mean;(matrix x);real;349
mean;(real x[]);real;334
mean;(row_vector x);real;349
mean;(vector x);real;349
min;(int x, int y);int;310
min;(int x[]);int;333
min;(matrix x);real;348
min;(real x[]);real;333
min;(row_vector x);real;348
min;(vector x);real;348
modified_bessel_first_kind;(int v, real z);real;329
modified_bessel_second_kind;(int v, real z);real;329
multi_gp;~;real;407
multi_gp_cholesky;~;real;408
multi_gp_cholesky_log;(matrix y, matrix L, vector w);real;408
multi_gp_log;(matrix y, matrix Sigma, vector w);real;407
multi_normal;~;real;404
multi_normal_cholesky;~;real;406
multi_normal_cholesky_log;(row_vectors y, row_vectors mu, matrix L);real;406
multi_normal_cholesky_log;(row_vectors y, vectors mu, matrix L);real;406
multi_normal_cholesky_log;(vectors y, row_vectors mu, matrix L);real;406
multi_normal_cholesky_log;(vectors y, vectors mu, matrix L);real;406
multi_normal_cholesky_rng;(vector mu, matrix L);vector;406
multi_normal_log;(row_vectors y, row_vectors mu, matrix Sigma);real;405
multi_normal_log;(row_vectors y, vectors mu, matrix Sigma);real;404
multi_normal_log;(vectors y, row_vectors mu, matrix Sigma);real;404
multi_normal_log;(vectors y, vectors mu, matrix Sigma);real;404
multi_normal_prec;~;real;405
multi_normal_prec_log;(row_vectors y, row_vectors mu, matrix Omega);real;405
