# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta_adagrad = 0.5
#     tol_rel_obj = 0.014999999999999999
#     eval_elbo = 10
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_mf.csv
#   diagnostic_file = elbo_mf.csv
#   refresh = 100 (Default)
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-17802.6,0.372945,0.358546,0.268508,16.0915,-6.92551,-2.80244,16.8225,5.09659,-15.6711,20.1196,9.42925,17.4667,12.4697,6.69713,16.3624
-17817.9,0.374208,0.359936,0.265856,16.8622,-6.81495,-3.45805,17.6047,4.91537,-14.3357,19.3482,9.00136,17.8027,12.4437,6.51527,16.3212
-17840.8,0.372399,0.360164,0.267437,13.5455,-7.26255,-6.14944,17.2468,5.17233,-15.6616,19.3331,8.41075,18.0104,12.5275,7.26255,16.6328
-17801.7,0.37315,0.355455,0.271395,17.268,-6.34515,-2.21786,17.2793,4.82466,-17.2138,19.4686,9.05662,18.7983,12.3497,6.8025,16.7035
-17853.3,0.375658,0.356411,0.267931,14.7685,-8.32563,-4.67217,16.2786,4.99123,-15.7832,20.1603,8.65981,17.9517,12.4022,6.91334,16.8004
-17825.5,0.374562,0.357035,0.268404,16.1783,-6.04616,-2.4303,17.0337,4.97673,-17.1684,19.8992,8.69556,18.2413,12.5304,7.02354,16.353
-17818.7,0.37599,0.355689,0.268321,13.6497,-7.98484,-2.67154,17.1331,5.05099,-16.9771,18.8915,9.31054,18.3989,12.3479,6.9804,16.7465
-17845.8,0.373719,0.358428,0.267853,15.3555,-8.77714,-3.73357,16.3685,4.95344,-17.1828,19.8228,8.87614,18.0641,12.4004,7.22375,16.5378
-17845.2,0.375827,0.358076,0.266096,14.0238,-6.52168,-3.16784,17.2741,5.0345,-15.6778,19.4037,9.2661,18.5135,12.5188,6.95868,16.6386
-17844.7,0.374928,0.357305,0.267767,15.6607,-7.02518,-1.14459,15.4222,5.27517,-14.7664,19.2803,9.06637,18.4789,12.4556,7.1283,16.5723
-17851.7,0.375663,0.357371,0.266966,16.9869,-6.46351,-5.41675,16.5455,4.7987,-15.7672,19.5654,9.35684,17.9842,12.5078,7.32999,16.7418
-17866.3,0.373579,0.358324,0.268097,15.0821,-7.38811,-5.50122,16.0179,5.03047,-16.0724,20.5771,8.77099,18.4753,12.3907,7.13078,16.5006
-17820.6,0.376343,0.356426,0.267231,16.5197,-7.25399,-2.77651,16.0432,4.98024,-15.1433,19.0959,8.69118,18.0163,12.4815,6.9465,16.3739
-17881.1,0.377733,0.356496,0.265771,15.2219,-6.34541,-5.50289,17.2541,5.18902,-14.228,19.6703,8.40502,18.2408,12.5995,6.9576,16.9391
-17840.9,0.372367,0.359672,0.267961,18.1764,-7.18477,-1.47697,15.4098,4.89054,-16.9598,19.4736,9.6689,18.2007,12.3679,7.20238,16.6098
-17863.7,0.374961,0.359098,0.265941,16.6316,-7.6945,-3.8152,16.8664,4.91597,-14.5576,19.6262,9.11829,18.2111,12.5256,7.07442,16.7674
-17853,0.375233,0.357343,0.267424,15.2286,-7.28508,-1.85891,16.413,5.10382,-16.578,20.3398,9.20871,17.6327,12.5001,7.25222,16.8149
-17825.8,0.374715,0.356415,0.26887,15.8358,-7.54982,-1.62541,16.4811,5.02959,-14.5036,19.2101,9.5792,18.1787,12.6622,7.11474,16.9349
-17843.5,0.376014,0.355914,0.268072,18.3725,-8.12167,-3.63925,16.267,5.00536,-16.5291,19.6108,8.90696,17.7219,12.6356,7.47772,16.4079
-17827.7,0.37364,0.357637,0.268723,16.31,-7.48557,-5.57548,14.6593,5.08276,-16.4215,19.0944,9.30923,18.0063,12.3133,7.24135,16.6308
-17834.5,0.374115,0.358433,0.267452,14.7184,-6.96616,-7.47115,17.0792,5.20357,-17.2728,19.5342,8.77258,18.0523,12.5234,6.90295,16.2406
-17851.3,0.372479,0.357626,0.269895,15.8394,-6.73331,-5.96998,16.0027,5.10357,-16.3545,20.6935,8.73492,18.1324,12.3183,7.07795,16.7223
-17843.2,0.374543,0.355371,0.270086,14.8252,-6.06011,-5.64373,17.4699,4.94106,-16.024,20.5793,9.07631,18.4925,12.437,7.1629,16.5593
-17843.8,0.378445,0.354147,0.267408,16.5602,-6.70483,-2.8642,15.5492,4.96691,-16.5747,18.7305,9.1463,18.4527,12.5548,7.22961,16.9358
-17848.4,0.378649,0.354913,0.266438,13.4965,-6.11146,-3.46289,15.5558,5.09893,-14.6418,19.706,9.98496,17.9554,12.651,7.23102,16.3042
-17816.7,0.375242,0.356324,0.268435,15.9992,-6.88465,-3.65721,16.2941,4.97564,-14.2354,18.7194,8.4859,17.9631,12.4954,6.93248,17.0791
-17891.3,0.376428,0.357625,0.265947,16.3231,-7.46505,-2.48208,17.6753,5.10212,-16.7301,19.8536,9.22173,18.891,12.4101,7.46555,16.5781
-17844.5,0.378342,0.353908,0.26775,16.4423,-6.59832,-6.34794,16.1605,5.15065,-17.4344,19.5549,9.16854,17.6058,12.5254,7.31326,16.5026
-17858,0.374909,0.357127,0.267964,15.711,-6.23746,-4.53436,16.6234,4.96107,-17.6377,19.75,8.2097,18.6404,12.5154,7.50363,16.411
-17853.6,0.379778,0.354045,0.266177,17.1075,-6.41362,-3.71916,16.177,5.06326,-17.0882,19.5747,8.69345,18.0952,12.2797,6.75764,16.4296
-17855,0.373927,0.358389,0.267684,15.108,-7.09619,-6.31532,16.6653,5.03792,-15.79,19.837,8.77077,17.9164,12.467,6.97206,17.1466
-17815.7,0.373076,0.357082,0.269842,15.22,-6.63384,-1.79969,18.4875,5.19239,-16.3742,19.6744,9.60914,18.6273,12.5272,6.65659,16.8522
-17807,0.374596,0.354394,0.27101,16.1361,-7.17287,-7.04741,16.2306,5.00931,-16.6355,18.3459,8.09715,17.8119,12.3518,7.51077,16.8136
-17825.7,0.373836,0.35525,0.270915,16.4605,-6.94162,-6.52199,15.3655,5.26659,-16.7387,20.1317,8.71903,17.8859,12.4456,6.94923,16.6054
-17876.2,0.374981,0.359502,0.265516,15.1486,-7.97331,-5.11483,17.1954,4.857,-14.7882,20.2016,9.26677,18.1977,12.625,7.01137,16.5996
-17861.9,0.373324,0.359157,0.267518,15.9071,-6.49177,-4.79642,15.9122,5.24391,-13.9199,19.6081,8.88145,18.3487,12.2396,7.0332,16.8976
-17858.1,0.376461,0.35609,0.267449,16.1931,-6.3332,-3.61122,18.0358,4.99908,-16.2347,19.4284,10.1908,18.4395,12.48,7.12999,17.1454
-17826.9,0.373411,0.356896,0.269693,16.0191,-7.38193,-4.27655,17.2757,5.30527,-15.5983,19.6559,8.92246,17.9817,12.5067,6.95965,17.0769
-17871.9,0.37526,0.358823,0.265917,15.0774,-7.45316,-2.15234,19.2208,5.02759,-15.0463,20.1371,8.88445,18.1306,12.504,7.37727,16.4207
-17857.9,0.375072,0.355779,0.269149,17.4368,-6.20788,-5.8072,16.4377,5.07162,-16.7706,20.1437,9.65514,18.5394,12.4741,7.22148,16.5988
-17842,0.375031,0.356581,0.268388,15.4954,-6.44124,-6.40145,16.9006,4.80539,-13.9722,20.2352,9.43176,17.8011,12.4428,7.07291,16.4208
-17867.9,0.374893,0.357838,0.267269,16.4629,-7.27833,-4.56732,16.3356,5.32543,-14.1459,19.639,8.75274,18.3313,12.4135,6.97616,16.9557
-17825.6,0.374808,0.355075,0.270117,17.2581,-6.59797,-4.28573,16.5782,5.12002,-13.8655,20.0747,8.80541,18.2999,12.5656,6.84557,16.3496
-17843,0.376624,0.356518,0.266858,16.6062,-6.95992,-4.68305,18.4559,5.052,-15.8536,19.2384,9.26515,17.986,12.3588,6.93089,16.9134
-17793.3,0.375162,0.355041,0.269797,15.0215,-7.79662,-2.2721,16.3789,5.15703,-17.5954,18.997,9.16434,17.6995,12.3868,7.02451,16.7168
-17836.6,0.374859,0.356261,0.26888,15.1004,-7.69294,-0.316571,16.6439,5.09449,-15.1272,19.5496,8.38295,18.3091,12.3495,6.96805,16.7398
-17848.2,0.377821,0.356826,0.265353,14.7793,-7.23369,-3.1426,17.9811,5.16007,-14.4991,18.2606,9.40267,18.1433,12.5229,7.10739,17.0778
-17835.3,0.375374,0.355886,0.26874,18.3074,-8.06679,-3.40533,16.6158,4.87757,-16.3779,19.0975,9.62187,18.3811,12.5166,7.05322,16.8902
-17855.6,0.372599,0.358692,0.26871,16.8967,-6.62333,-2.19442,16.432,5.0701,-15.9287,19.9577,9.12496,18.5254,12.3103,7.08842,17.0763
-17853.5,0.373627,0.360313,0.26606,18.3827,-7.65605,-3.4892,17.6251,5.11578,-16.1948,19.6106,9.34214,17.7379,12.434,6.94968,16.8198
-17843.6,0.376279,0.3563,0.267421,17.2312,-7.1054,-3.69631,16.6311,5.10995,-17.4755,19.4675,8.92467,18.122,12.5863,7.15096,16.6512
-17776.5,0.371297,0.358141,0.270561,14.3705,-6.9717,-5.30403,17.2458,4.99933,-14.1996,19.1906,8.85935,18.2281,12.4349,6.76406,16.1416
-17865.7,0.377041,0.357893,0.265066,15.5866,-7.22373,-4.04795,16.2124,5.0075,-16.4174,19.8953,8.48486,17.8505,12.3199,6.99121,16.5341
-17841.8,0.376727,0.356903,0.26637,16.7303,-7.21909,-3.15824,16.1576,5.10593,-16.6372,18.94,8.75519,18.3246,12.4456,7.02119,16.5939
-17858.8,0.377514,0.354409,0.268077,14.3889,-5.97467,-3.85482,16.5238,5.02534,-15.4717,19.9713,8.88809,18.1707,12.3764,7.24196,17.0134
-17810.2,0.377565,0.354369,0.268066,15.4526,-7.05492,-4.8669,16.5761,5.10477,-17.0178,19.1348,8.71744,18.0268,12.5339,6.80052,16.3932
-17860.5,0.377636,0.352988,0.269376,16.8198,-7.11801,-7.29884,16.2581,4.94211,-16.4269,19.0854,8.39532,17.9405,12.3782,7.27177,17.4532
-17844.2,0.376949,0.35589,0.267161,16.4121,-7.35693,-6.54113,16.5755,5.22929,-14.6291,19.7132,8.60075,17.6027,12.6241,6.94808,16.254
-17914.7,0.37621,0.359461,0.264329,16.2022,-6.48312,-6.07496,16.9443,5.18869,-16.5325,20.2026,8.77544,17.9444,12.3414,7.19144,17.1742
-17837.2,0.374196,0.357639,0.268165,15.6831,-6.12285,-3.9669,16.6877,5.21888,-17.0962,19.9069,8.96203,18.1095,12.4123,6.95351,16.7501
-17841.6,0.376814,0.35666,0.266526,17.1212,-6.92774,-3.27389,16.5018,5.22014,-14.8327,18.4446,9.1927,18.0354,12.5328,7.27996,16.9077
-17878.2,0.373901,0.359904,0.266195,14.9093,-5.93735,-7.27344,18.12,5.21436,-16.5922,19.6852,8.2067,18.2888,12.5036,6.93722,16.8231
-17861.1,0.374614,0.358937,0.266449,15.7748,-8.21726,-4.08034,17.3435,5.14159,-15.4659,19.8177,9.45848,17.8929,12.4883,7.08645,16.8143
-17844.4,0.374076,0.358995,0.266929,14.7379,-5.41852,-2.31143,15.4089,5.1688,-14.4331,19.6497,9.92309,17.6888,12.5405,6.8001,17.0734
-17789.6,0.373051,0.35517,0.271779,15.0762,-7.86524,-4.19252,16.6057,4.74309,-16.3856,19.8305,9.37923,18.0647,12.5397,7.18991,16.4466
-17843.1,0.374218,0.357489,0.268293,16.0785,-7.99062,-1.84554,16.6528,4.93836,-16.4428,19.8689,9.67451,17.4907,12.4062,7.34554,17.1082
-17858.1,0.376409,0.356063,0.267528,17.4405,-7.0941,-3.93718,16.5423,4.95502,-17.1639,20.0245,9.5411,18.0288,12.4046,7.17108,16.7437
-17844.8,0.373551,0.359064,0.267385,17.069,-7.12423,-5.04391,16.7714,4.89021,-15.3938,18.9851,8.87799,18.0746,12.4714,7.16822,17.2602
-17857.5,0.375751,0.356862,0.267387,15.3894,-6.77255,-2.89931,17.3451,5.11397,-15.5648,20.1455,9.60138,18.0601,12.5118,7.39337,16.6373
-17859.4,0.375499,0.357981,0.26652,15.5749,-6.73996,-6.76281,15.8881,4.93804,-15.0616,19.6151,9.46719,18.2005,12.5307,7.06695,16.6053
-17832,0.37592,0.356658,0.267422,16.58,-6.20982,-5.59337,16.0033,5.06404,-15.9851,18.6028,9.2801,18.1513,12.4617,7.25122,16.7784
-17852.1,0.377678,0.355115,0.267206,14.0437,-7.19729,-4.02596,17.2488,5.12423,-18.1345,19.3797,9.65455,18.2341,12.4813,7.33428,16.7776
-17821.2,0.374746,0.355962,0.269292,13.6786,-6.79194,-2.76821,15.7556,4.84715,-16.8423,19.6851,8.73818,18.3217,12.5386,7.08472,16.884
-17828.5,0.374739,0.35719,0.268071,16.4475,-6.66933,-4.56259,16.1297,4.91193,-16.3934,19.8227,8.74022,17.6335,12.4135,6.96344,16.7748
-17871.1,0.378585,0.355417,0.265998,14.6299,-8.08394,-3.80177,17.707,5.27069,-15.5999,19.5013,9.07437,18.2231,12.558,7.02377,16.8718
-17895.6,0.37527,0.360492,0.264238,14.6766,-7.34046,-2.18611,16.4774,5.14327,-14.1239,20.63,8.97402,17.6978,12.4379,7.27871,16.5338
-17841.7,0.377921,0.354888,0.267191,17.4914,-7.24859,-3.61645,16.9338,4.93491,-15.1632,19.361,8.4143,18.3138,12.529,6.88887,16.4208
-17827.7,0.37416,0.355474,0.270366,14.9332,-7.40199,-4.4648,15.9311,5.21339,-15.3695,19.8367,8.82773,17.9019,12.4717,7.24696,16.9696
-17833,0.373529,0.356917,0.269554,17.3711,-7.7409,-3.96514,17.2514,5.22079,-14.6644,19.5508,8.98595,18.2391,12.5921,7.32783,16.5489
-17864.2,0.374778,0.359346,0.265876,14.8956,-6.81295,-2.30747,16.1511,4.99436,-16.0732,19.7123,8.40167,18.3804,12.6091,7.16228,16.7835
-17775.3,0.369715,0.358436,0.271849,16.4839,-7.02214,-3.58386,16.4683,4.96318,-14.0203,18.6223,8.65357,17.9417,12.4588,7.11444,16.9976
-17869.9,0.374768,0.357134,0.268097,16.1735,-7.5224,-5.34281,15.6022,5.08666,-16.2624,19.7029,9.01998,18.7254,12.5434,7.22566,17.0189
-17848.5,0.3746,0.357346,0.268054,15.4537,-7.88336,-6.81245,15.7482,5.07255,-16.7752,19.0867,9.40726,18.6986,12.4536,6.8231,16.917
-17839.3,0.376945,0.354115,0.26894,14.5159,-7.78618,-3.51447,16.3011,5.02416,-15.3322,20.1741,9.32978,18.3778,12.5546,6.82743,16.6462
-17852.2,0.373747,0.358077,0.268175,15.6499,-7.56165,-4.7394,18.1187,5.37245,-16.1602,20.0463,8.9086,18.0456,12.3565,6.96231,16.8134
-17835.3,0.37733,0.355996,0.266674,15.7102,-6.09789,-4.80428,16.4297,5.26974,-16.168,19.0562,8.45597,18.1555,12.4484,6.97076,16.3509
-17868.1,0.376117,0.355739,0.268144,15.0983,-6.90038,-6.18295,16.0775,5.26356,-15.9053,20.0971,9.12374,18.1872,12.4504,7.09377,16.979
-17810.6,0.372868,0.358299,0.268833,13.467,-8.1625,-2.97038,16.496,5.19099,-18.2225,18.8943,8.42854,18.0119,12.4399,7.29233,16.5641
-17823.5,0.3767,0.355982,0.267318,15.8929,-6.86463,-3.47008,17.7062,5.27318,-16.0222,18.6784,9.73421,18.3437,12.4455,7.07692,16.486
-17845.2,0.374815,0.35691,0.268275,16.1778,-7.76842,-4.64427,16.6413,4.99246,-17.7417,19.6846,9.18255,18.0906,12.2674,7.13639,16.8224
-17868.4,0.374597,0.357464,0.267939,17.1272,-7.53195,-2.20969,16.4297,5.31627,-13.893,20.3744,8.68886,18.5223,12.45,6.74303,16.5417
-17850.9,0.37599,0.358294,0.265716,16.5025,-7.71943,-3.59237,16.6985,5.16756,-13.9364,18.7279,9.91664,17.8336,12.5357,7.23919,16.7641
-17874.5,0.375393,0.355642,0.268965,16.3443,-8.28411,-4.69883,16.1727,4.93097,-14.118,20.4521,9.99832,17.9789,12.276,7.10091,16.9842
-17839.9,0.375246,0.355875,0.268879,16.8848,-7.32536,-2.72745,17.0023,5.20708,-14.8063,19.2986,9.6702,18.2379,12.3031,7.04354,17.0398
-17849.3,0.37708,0.35663,0.26629,16.338,-6.3624,-1.36433,17.216,4.86895,-16.149,19.3671,9.39979,17.9638,12.4065,7.54077,16.4497
-17842.5,0.373608,0.357775,0.268617,16.1515,-7.23114,-2.91898,18.6013,5.03913,-17.572,20.2567,8.72022,18.2167,12.3787,7.47556,16.0981
-17808,0.375483,0.357255,0.267261,14.3818,-7.21237,-3.59079,17.0495,4.88404,-14.8708,19.2642,9.27012,17.6101,12.6121,6.82313,16.6953
-17848.7,0.375589,0.35494,0.26947,18.3791,-7.60649,-3.89812,16.2949,5.26094,-15.0542,19.4077,9.09524,18.1565,12.5439,7.29427,16.991
-17846,0.378045,0.355633,0.266322,15.105,-8.11009,-5.39919,15.1494,5.20572,-15.7953,18.8955,9.29492,17.7962,12.4106,7.26561,16.4901
-17836.4,0.376179,0.356116,0.267706,15.5026,-7.57027,-3.13876,17.4767,5.14855,-14.768,19.302,8.90479,17.8681,12.51,6.83795,17.184
-17832.1,0.374985,0.358111,0.266905,16.5529,-7.19287,-3.11752,17.5465,5.22972,-17.7151,19.3503,9.20066,18.099,12.433,6.91551,16.51
-17840.7,0.375483,0.35439,0.270127,16.8708,-7.57699,-3.57087,16.4385,5.10133,-15.5885,20.2819,8.10251,18.1984,12.5617,6.68717,16.9044
-17805.5,0.374829,0.356398,0.268773,16.7142,-6.54027,-4.35376,16.1402,5.07376,-14.4757,18.2042,8.51523,18.1943,12.4,7.11061,16.6554
-17810.7,0.376093,0.353361,0.270545,16.2522,-7.87034,-5.04641,16.9666,4.99828,-15.2814,19.5669,8.84537,18.207,12.5654,6.80427,16.6063
-17827,0.373668,0.357908,0.268424,17.0235,-8.21266,-2.97718,15.1359,4.9408,-15.0064,19.155,8.79216,17.9404,12.395,7.20802,16.6033
-17855.2,0.372875,0.35937,0.267755,16.1985,-7.19093,-2.54645,16.3512,5.19034,-15.683,20.2048,8.87673,18.3273,12.4492,7.37554,16.3505
-17820,0.374792,0.358222,0.266985,15.5579,-7.60617,-2.71102,17.2311,4.92057,-17.268,18.6917,9.28113,18.0002,12.4682,7.08435,16.9086
-17860.7,0.374557,0.358395,0.267048,16.2121,-7.62558,-3.67505,15.7169,5.24998,-17.8984,19.4754,8.34056,18.2008,12.5205,7.09367,16.9684
-17842.3,0.372795,0.360368,0.266837,14.4187,-7.17298,-3.68713,15.132,5.17394,-15.3952,19.6373,9.02566,18.2742,12.3494,7.25754,16.2281
-17857.2,0.376921,0.355172,0.267907,17.7321,-6.56553,-2.2404,16.4013,5.20298,-16.6905,19.6855,8.39614,18.4204,12.4803,6.85343,16.7788
-17842.9,0.373506,0.359095,0.267399,14.8464,-7.39971,-1.10012,16.959,4.87242,-18.5215,19.5214,9.39228,18.4219,12.4686,7.24576,16.7369
-17861.3,0.373105,0.359881,0.267013,17.8881,-7.68146,-4.02759,17.0805,5.02868,-16.9724,20.1098,9.20452,18.0667,12.4075,7.01523,16.7545
-17868.2,0.376568,0.356382,0.26705,16.0065,-7.15566,-3.73365,15.1015,5.01995,-16.0592,19.6265,9.92031,18.7719,12.3675,7.14851,16.5849
-17858.3,0.370399,0.361473,0.268128,18.0896,-7.66258,-4.12926,17.4494,4.94644,-16.0219,20.3372,7.96616,18.1714,12.3846,7.18984,16.293
-17811.7,0.375915,0.355609,0.268476,13.8252,-5.6708,-5.94414,16.9584,4.88339,-15.6194,19.0608,9.12328,18.304,12.556,7.0133,16.4994
-17869.6,0.376597,0.356085,0.267319,15.7528,-6.77337,-3.38838,17.8093,5.16215,-14.36,20.1095,8.48349,18.1225,12.581,7.44937,16.563
-17874.6,0.377853,0.357833,0.264314,18.2816,-7.01175,-4.78316,17.1194,5.07287,-17.4239,19.2148,8.90301,17.7158,12.4068,6.86588,16.9938
-17824.7,0.372697,0.358809,0.268495,15.2268,-7.52012,-3.20535,16.3972,5.06537,-15.7228,19.771,9.31563,18.0625,12.5116,7.098,16.6537
-17861,0.375374,0.357755,0.266871,16.0076,-6.83217,-4.45489,16.7587,5.01586,-14.5132,20.0809,9.17035,17.8173,12.5569,7.42264,16.6026
-17859.2,0.376004,0.358061,0.265935,16.7793,-7.4476,-3.64407,14.3936,5.02269,-16.341,19.6961,9.595,17.704,12.4049,6.98541,16.7219
-17822.9,0.375842,0.357574,0.266585,14.1863,-7.38663,-1.16284,18.0783,4.974,-15.8367,18.8977,9.50807,18.0443,12.4135,6.9422,16.701
-17789.3,0.371385,0.356986,0.271629,13.9499,-7.43285,-3.91655,17.9605,4.91784,-17.095,19.9321,9.65182,18.1707,12.4241,6.91971,16.6168
-17812.8,0.373185,0.3567,0.270115,15.2602,-7.11939,-5.90111,16.5985,5.09126,-13.2993,18.7149,9.61647,17.8058,12.4592,7.2267,17.0532
-17828.1,0.375879,0.356949,0.267172,16.8798,-7.26141,-5.12943,16.3008,4.9514,-16.7716,19.5826,9.28103,17.7367,12.4138,7.00839,16.3067
-17826,0.374431,0.357594,0.267975,16.585,-6.50165,-4.01562,17.0389,4.91277,-16.9813,19.3843,9.16165,18.0731,12.256,7.08512,16.6894
-17846.1,0.373236,0.359758,0.267005,15.6159,-7.95935,-3.44793,16.7825,4.85017,-13.936,19.6011,9.36631,18.3418,12.5555,7.19193,16.4276
-17840.3,0.376543,0.355715,0.267742,16.8293,-7.52426,-4.38457,17.5319,5.16712,-17.3079,19.4869,8.89417,17.9294,12.4342,7.1353,16.5968
-17829.9,0.375765,0.356176,0.268059,15.9568,-7.80484,-1.50487,17.0534,4.90303,-15.93,19.0804,9.49198,18.4313,12.2943,7.24087,16.5129
-17817.7,0.374046,0.35699,0.268963,16.1455,-7.12388,-3.21626,17.0187,5.11005,-17.4283,19.612,8.97666,17.662,12.2947,7.01981,16.8361
-17837.2,0.375547,0.357324,0.267129,15.6565,-6.79565,-4.66434,16.6494,4.93546,-17.1378,19.3682,8.79295,18.1104,12.5162,7.19926,16.6587
-17794.2,0.375634,0.353342,0.271023,16.4118,-6.43478,-4.05111,16.415,4.99108,-16.3657,19.6242,9.06286,17.6082,12.389,6.78776,16.9141
-17812.5,0.376829,0.355325,0.267846,14.8367,-7.51426,-6.70429,16.7311,5.05714,-17.1411,18.919,9.77386,17.2588,12.6083,6.8242,16.8473
-17822,0.373284,0.358999,0.267717,15.4976,-5.32536,-3.4977,18.0888,5.09835,-17.8023,19.1417,8.06538,17.7726,12.5017,7.00011,16.5615
-17842.6,0.375942,0.356553,0.267505,15.8989,-7.71903,-5.15356,15.6639,4.81329,-17.7574,19.5236,8.53456,18.014,12.5289,7.23107,16.5899
-17887.2,0.37395,0.358142,0.267908,16.0511,-8.06388,-6.90668,17.212,5.0974,-13.093,20.2668,8.73972,18.2344,12.5242,6.85823,16.8846
-17859.3,0.376035,0.357204,0.266761,17.5854,-6.57822,-4.03347,16.0773,4.81817,-14.3834,19.7675,9.35067,17.6062,12.174,7.12765,16.8814
-17896.1,0.375288,0.360333,0.264379,15.2783,-8.31805,-1.60567,15.2643,5.01093,-16.0752,20.2214,8.02068,17.0466,12.3773,7.03457,17.3328
-17812.4,0.372672,0.358194,0.269134,16.8986,-7.29115,-5.4281,16.4079,5.10031,-18.1287,19.4096,9.80209,18.0556,12.4764,7.07761,16.3021
-17869.2,0.376194,0.359066,0.26474,15.9474,-7.21473,-0.205161,17.7042,5.17843,-17.164,19.0929,8.7249,18.1626,12.3974,6.96733,16.8957
-17809.1,0.372168,0.358619,0.269213,16.2993,-6.86814,-4.70723,16.6555,5.03334,-15.9495,19.3185,9.02609,17.6382,12.5628,7.29027,16.8198
-17842.2,0.377099,0.357235,0.265666,15.8901,-6.67066,-5.11588,17.7633,5.17011,-15.6228,19.0134,8.97528,17.8031,12.4416,6.90537,16.7474
-17845,0.377767,0.354511,0.267722,13.8168,-7.07969,0.00922386,16.8553,5.12524,-14.4222,19.3713,8.77308,18.5082,12.3685,6.94579,16.5062
-17825.8,0.374929,0.355669,0.269403,14.7553,-7.66198,-5.28324,17.6705,4.84735,-15.1029,20.1365,9.34533,17.6761,12.595,7.13535,16.6324
-17852.9,0.375905,0.356368,0.267727,17.02,-7.1309,-3.24779,15.6917,5.09991,-15.2738,19.85,8.68102,18.1197,12.4091,7.10396,16.6228
-17849,0.375932,0.355538,0.26853,16.4385,-6.65805,-6.37519,16.9575,5.19833,-13.2117,19.5754,8.26267,18.2819,12.4689,6.71396,16.5621
-17891.6,0.377097,0.355694,0.267209,16.5439,-7.85813,-3.39313,16.5835,5.3391,-16.1957,20.552,9.39808,17.9469,12.3754,7.53063,16.6975
-17835.1,0.373892,0.356026,0.270083,15.0135,-7.47408,-0.600698,16.9318,4.99287,-14.0228,20.1703,8.37614,18.2878,12.5148,6.87002,16.8149
-17816.8,0.374048,0.356611,0.269341,15.4521,-6.78962,-5.95836,16.5809,4.87455,-15.673,19.4539,8.62303,17.9518,12.399,6.9884,16.7881
-17858.4,0.374942,0.359481,0.265577,15.5076,-5.93223,-2.70268,16.57,5.174,-15.5105,19.5885,9.32064,17.9995,12.5204,7.09398,16.8507
-17859,0.376117,0.356151,0.267732,15.3058,-6.74853,-4.6329,16.6157,5.07362,-17.4713,20.0712,7.86089,17.8462,12.3256,7.18032,16.614
-17807.6,0.374412,0.355455,0.270133,15.8248,-7.02865,-4.1415,17.1012,4.90849,-15.289,18.9643,8.40857,18.1928,12.3602,7.46702,16.506
-17880.8,0.376887,0.355115,0.267998,16.4833,-7.16839,-1.98075,16.9921,5.10477,-16.4619,20.1185,8.91507,18.6791,12.4001,7.44465,16.8242
-17823.8,0.374561,0.354588,0.270851,19.2117,-6.52356,-5.13222,18.1605,5.0487,-16.0015,20.3343,9.41016,17.9558,12.5589,7.47395,15.8712
-17827.7,0.376471,0.356572,0.266957,14.9475,-7.16276,-3.26324,16.6873,5.01906,-14.8109,19.778,9.46321,17.6978,12.6522,6.93796,16.4635
-17841.8,0.376401,0.357323,0.266276,13.9935,-7.02986,-3.93575,17.0123,5.06784,-16.9975,20.076,9.12653,17.7127,12.5514,7.06618,16.4277
-17905.9,0.378131,0.355743,0.266126,17.0472,-6.3636,-6.07323,16.8002,5.26619,-16.2168,20.9548,8.47912,17.9148,12.5059,6.99554,16.7107
-17886.8,0.378714,0.355319,0.265967,16.337,-6.96397,-3.89594,15.8275,4.90914,-18.0474,20.0879,9.03856,18.3545,12.3823,7.0366,16.9422
-17855.8,0.373838,0.357487,0.268675,14.6862,-7.08871,-4.44651,16.2566,5.25373,-14.6366,20.5534,8.7407,18.3967,12.4308,7.34833,16.1212
-17857.6,0.377977,0.356262,0.265761,16.9987,-7.02148,-4.50303,15.6738,4.73868,-16.7589,19.9948,9.28376,17.8924,12.4964,6.70725,16.7157
-17802.4,0.373606,0.356155,0.270239,15.0941,-8.05112,-5.43548,16.9746,5.00113,-12.5804,18.9378,8.69436,17.8291,12.5377,6.93037,16.5666
-17821.6,0.372389,0.359734,0.267876,15.5271,-6.91861,-4.6257,16.1768,5.17583,-14.0016,19.4623,9.10975,17.7005,12.42,7.02839,16.5229
-17855.9,0.376768,0.357064,0.266167,16.3146,-8.35502,-4.45133,16.0687,5.12037,-16.2062,19.7803,8.18541,17.9279,12.6109,6.8838,16.3409
-17811.7,0.375663,0.35673,0.267607,16.5896,-7.1683,-1.1656,18.5704,4.99718,-16.7807,19.1677,9.38387,17.3768,12.4647,6.89139,16.8556
