# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta_adagrad = 0.5
#     tol_rel_obj = 0.014999999999999999
#     eval_elbo = 10
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_mf.csv
#   diagnostic_file = elbo_mf.csv
#   refresh = 100 (Default)
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-17871.9,0.376884,0.355744,0.267371,17.1995,-6.63332,-4.75793,17.6724,4.98972,-15.0794,19.5706,10.3345,18.6916,12.482,7.32127,16.6542
-17854.5,0.376669,0.356265,0.267066,15.4199,-7.20994,-4.5455,16.4695,5.28171,-15.6396,19.6566,9.58298,17.9046,12.6073,7.45134,16.5801
-17849,0.375831,0.358321,0.265848,15.0512,-7.50534,-3.34706,17.2322,5.01899,-16.9661,19.1449,8.45443,18.3303,12.5738,7.12886,16.6348
-17850.5,0.375082,0.358332,0.266587,15.2616,-7.45837,-4.30018,16.915,4.85706,-17.1669,20.0793,9.35924,18.1628,12.5576,6.95952,16.6494
-17842,0.37085,0.3604,0.26875,16.3845,-7.59641,-5.3235,16.5811,5.07103,-17.1412,20.0969,8.94031,18.1655,12.4808,7.06572,16.7288
-17832,0.377934,0.354256,0.267811,15.8655,-7.06308,-3.92841,17.0807,4.93224,-16.3343,18.6306,8.49634,18.4091,12.3742,7.41825,16.5441
-17853.7,0.375587,0.355712,0.268702,15.8755,-6.9385,-3.83822,17.7024,4.96306,-15.3706,19.673,8.7518,18.332,12.5443,7.13416,17.3667
-17838.3,0.375372,0.356798,0.26783,16.9847,-6.69246,-4.4022,16.0986,4.96097,-14.1471,19.5816,9.72548,17.5331,12.3303,7.0129,16.8908
-17840.4,0.374656,0.358289,0.267055,15.3248,-7.88313,-5.31791,15.1861,5.03681,-16.4379,19.1357,9.34003,18.1332,12.5186,7.10743,16.7648
-17822.6,0.372649,0.358564,0.268786,16.5833,-6.97455,-2.86201,16.3464,5.13791,-15.8475,18.9397,9.27428,18.6154,12.6047,7.44049,16.5128
