# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_nuts.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-50173.6,0.975186,0.00718539,8,255,0,0.336317,0.330791,0.332892,-7.02417,-0.253592,7.68381,3.76963,-18.7656,13.0813,9.17147,14.8637,14.2924,4.01074,11.1768,13.5392
-50169.5,0.93929,0.0125537,3,7,0,0.336737,0.333524,0.329739,-6.98824,-0.278597,7.71041,3.73815,-18.7261,13.0537,10.0135,14.2268,15.7341,4.04711,11.6532,14.5308
-50165.3,0.561018,0.019648,6,63,0,0.339861,0.33199,0.328149,-6.79826,-0.373731,8.20625,4.0845,-18.3433,13.295,8.82625,14.2988,15.5652,4.1591,11.5312,14.2677
-50134.3,0.987132,0.0106447,7,127,0,0.336914,0.331295,0.331791,-6.39817,-2.52017,10.3627,3.79135,-18.5797,15.0906,9.0092,14.3466,14.7108,4.3839,11.4754,13.7907
-50110.8,0.992947,0.0189028,6,63,0,0.333572,0.337121,0.329307,-7.5371,-3.29931,13.1108,4.39442,-17.4601,16.8558,9.11916,14.738,12.7608,4.52669,12.1075,13.7242
-50110.8,2.74566e-08,0.0337834,2,3,1,0.333572,0.337121,0.329307,-7.5371,-3.29931,13.1108,4.39442,-17.4601,16.8558,9.11916,14.738,12.7608,4.52669,12.1075,13.7242
-50111.6,0.984848,0.00403177,9,383,0,0.335446,0.333437,0.331118,-7.56067,-3.2919,13.6103,4.11165,-17.4577,17.1347,9.19307,14.6614,12.9985,4.07382,12.1527,13.3289
-50108.4,0.997024,0.00707203,7,95,0,0.334901,0.33619,0.328909,-7.97628,-3.16559,13.6769,4.58167,-17.364,17.2076,9.06475,14.4479,13.499,4.39446,11.9459,13.5252
-50110.4,0.928779,0.0126977,3,7,0,0.333975,0.335472,0.330553,-7.91259,-3.16209,13.6968,4.55293,-17.3519,17.207,9.17425,14.7167,13.4738,4.4167,11.9602,14.4603
-50108,0.770941,0.0188459,7,127,0,0.336047,0.334394,0.329559,-7.65518,-3.59991,16.43,4.83796,-16.0121,16.5907,9.23628,14.7186,12.0265,4.77886,12.3462,14.3654
-50109,0.882352,0.0183522,7,127,0,0.333898,0.333621,0.332482,-7.59837,-4.00161,14.7065,4.31684,-16.6595,15.7569,9.21117,14.9874,12.732,4.7777,12.2564,13.7387
-50112.1,0.174711,0.0239057,6,63,0,0.33705,0.329928,0.333022,-7.93136,-4.01036,15.2409,4.73125,-17.2717,15.0901,8.81206,14.5197,12.581,4.44323,11.8017,14.4188
-50105.5,0.999767,0.0049657,9,511,0,0.334803,0.335781,0.329415,-7.51663,-3.64107,15.6591,4.60853,-17.4536,18.2645,9.54567,14.2431,12.9463,4.53717,11.6902,13.6153
-50111.3,0.904027,0.00879478,8,255,0,0.33354,0.33708,0.32938,-8.35639,-3.13553,15.296,4.17449,-15.7535,18.4048,10.137,14.6785,12.8874,4.36408,12.5899,12.876
-50108.6,0.969295,0.0120952,7,87,0,0.333422,0.336744,0.329834,-8.25554,-3.06356,15.1749,4.35046,-15.4645,18.3113,9.56691,14.13,12.4429,4.62789,12.813,13.4103
-50109.5,0.518106,0.0195228,3,7,0,0.333954,0.33624,0.329806,-8.26313,-3.02999,15.1218,4.30945,-15.3815,18.2689,9.04054,14.6958,13.3732,4.28583,12.0094,13.085
-50105.4,0.991979,0.0100753,8,255,0,0.333751,0.335896,0.330353,-7.94461,-3.08552,15.8163,4.71124,-16.2012,17.7806,8.93091,14.2733,12.6325,4.44102,12.257,13.6016
